citation_key,entry_type,year,author,title,journal,booktitle,volume,number,pages,publisher,doi,url,role_in_review,verification_status
mantini2019uhctd,inproceedings,2019,"Mantini, Pranav and Shah, Shishir K",{UHCTD}: A comprehensive dataset for camera tampering detection,,16th IEEE International Conference on Advanced Video and Signal Based Surveillance (AVSS),,,1--8,,10.1109/AVSS.2019.8909856,,dataset_or_benchmark,transcribed_from_manuscript
mantini2017signal,inproceedings,2017,"Mantini, Pranav and Shah, Shishir K",A signal detection theory approach for camera tamper detection,,14th IEEE International Conference on Advanced Video and Signal Based Surveillance (AVSS),,,1--6,,10.1109/AVSS.2017.8078496,,primary_or_comparative_study,transcribed_from_manuscript
horn1981determining,article,1981,"Horn, Berthold KP and Schunck, Brian G",Determining optical flow,Artificial Intelligence,,17,1-3,185--203,Elsevier,10.1016/0004-3702(81)90024-2,,primary_or_comparative_study,transcribed_from_manuscript
dalal2005histograms,inproceedings,2005,"Dalal, Navneet and Triggs, Bill",Histograms of oriented gradients for human detection,,IEEE Conference on Computer Vision and Pattern Recognition,1,,886--893,,10.1109/CVPR.2005.177,,primary_or_comparative_study,transcribed_from_manuscript
stauffer1999adaptive,inproceedings,1999,"Stauffer, Chris and Grimson, W Eric L",Adaptive background mixture models for real-time tracking,,IEEE Conference on Computer Vision and Pattern Recognition,2,,246--252,,10.1109/CVPR.1999.784637,,primary_or_comparative_study,transcribed_from_manuscript
lecun2015deep,article,2015,"LeCun, Yann and Bengio, Yoshua and Hinton, Geoffrey",Deep learning,Nature,,521,7553,436--444,Nature Publishing Group,10.1038/nature14539,,primary_or_comparative_study,transcribed_from_manuscript
hochreiter1997long,article,1997,"Hochreiter, Sepp and Schmidhuber, J{\""u}rgen",Long short-term memory,Neural Computation,,9,8,1735--1780,,10.1162/neco.1997.9.8.1735,,primary_or_comparative_study,transcribed_from_manuscript
dosovitskiy2020image,inproceedings,2021,"Dosovitskiy, Alexey and Beyer, Lucas and Kolesnikov, Alexander and Weissenborn, Dirk and Zhai, Xiaohua and Unterthiner, Thomas and Dehghani, Mostafa and Minderer, Matthias and Heigold, Georg and Gelly, Sylvain and Uszkoreit, Jakob and Houlsby, Neil",An image is worth 16x16 words: Transformers for image recognition at scale,,International Conference on Learning Representations,,,,,,,primary_or_comparative_study,transcribed_from_manuscript
radford2021learning,inproceedings,2021,"Radford, Alec and Kim, Jong Wook and Hallacy, Chris and Ramesh, Aditya and Goh, Gabriel and Agarwal, Sandhini and Sastry, Girish and Askell, Amanda and Mishkin, Pamela and Clark, Jack and Krueger, Gretchen and Sutskever, Ilya",Learning transferable visual models from natural language supervision,,International Conference on Machine Learning,,,8748--8763,,,,primary_or_comparative_study,transcribed_from_manuscript
achiam2023gpt,techreport,2023,{OpenAI},{GPT-4} technical report,,,,,,,10.48550/arXiv.2303.08774,,background_or_other,transcribed_from_manuscript
wu2024vadclip,inproceedings,2024,"Wu, Peng and Zhou, Xuerong and Pang, Guansong and Zhou, Lingru and Yan, Qingsen and Wang, Peng and Zhang, Yanning",{VadCLIP}: Adapting Vision--Language Models for Weakly Supervised Video Anomaly Detection,,Proceedings of the AAAI Conference on Artificial Intelligence,38,,6074--6082,,10.1609/aaai.v38i6.28423,,primary_or_comparative_study,transcribed_from_manuscript
zanella2024harnessing,inproceedings,2024,"Zanella, Luca and Menapace, Willi and Mancini, Massimiliano and Wang, Yiming and Ricci, Elisa",Harnessing large language models for training-free video anomaly detection,,IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,,,10.1109/CVPR52733.2024.01753,,primary_or_comparative_study,transcribed_from_manuscript
ramachandra2020survey,article,2020,"Ramachandra, Bharathkumar and Jones, Michael J and Vatsavai, Ranga Raju",A survey of single-scene video anomaly detection,IEEE Transactions on Pattern Analysis and Machine Intelligence,,44,5,2293--2312,IEEE,10.1109/TPAMI.2020.3040591,,positioning_review,transcribed_from_manuscript
li2015crowded,article,2015,"Li, Teng and Chang, Huan and Wang, Meng and Ni, Bingbing and Hong, Richang and Yan, Shuicheng",Crowded scene analysis: A survey,IEEE Transactions on Circuits and Systems for Video Technology,,25,3,367--386,IEEE,10.1109/TCSVT.2014.2358029,,positioning_review,transcribed_from_manuscript
